"id","date","state","city","department","victim_number","victim_weight","reported_pitbull","actual_breed","source","source2","source3","victim_name","officer_name","seizure","survival","children","hospitalization","hospitalization_police_injury","arrest","fine","uniform","warrant_or_pc","beware_of_dog","suspension","firing","lawsuit","criminal_charge"
1501,"2008-08-03","Pennsylvania","Wilkes-Barre","Wilkes-Barre City Police Department",3,2,1,"Unconfirmed","https://webcache.googleusercontent.com/search?q=cache:u7wNNtcBxb0J:www.pitbullforum.com/viewtopic.php%3Ff%3D14%26t%3D100362+&amp;cd=1&amp;hl=en&amp;ct=clnk&amp;gl=us",,,"Unknown","Unknown",2,0,2,0,0,2,2,"Uniform",2,3,2,2,2,2
1502,"2009-07-04","Pennsylvania","Wilkes-Barre","Wilkes-Barre City Police Department",1,2,1,"Unconfirmed","http://citizensvoice.com/news/wilkes-barre-police-shoot-kill-pit-bull-running-loose-on-river-common-1.105887",,,"Unknown","Joe Mangan",1,0,2,0,0,2,2,"Uniform",3,3,2,2,2,0
1503,"2012-06-28","Pennsylvania","Hazleton","Hazleton City Police",1,50,1,"Pit Bull, 5 yo","http://citizensvoice.com/news/hazleton-police-shoot-kill-pit-bull-1.1338887",,,"Syncere","Unknown",1,0,2,0,0,2,2,"Uniform",3,2,2,2,2,2
1504,"2014-05-18","Pennsylvania","Kingston","Kingston Police Department",1,2,1,"Unconfirmed","http://citizensvoice.com/news/police-say-dog-shooting-was-justified-1.1688650",,,"Gabanna","Kingston Police Chief Michael Krzywicki, unknown shooter",1,0,0,0,0,2,2,"Uniform",1,3,0,0,0,0
1505,"2008-09-30","Pennsylvania","West Reading","West Reading Police Department, Animal Rescue League",2,2,1,"Unconfirmed","http://www2.readingeagle.com/article.aspx?id=107980",,,"Unknown","Marco DeCamillo",1,0,2,0,0,2,2,"Uniform",3,3,0,0,0,0
1506,"2007-07-21","Pennsylvania","Reading","Reading Police Department, Humane Society of Berks County Inc",1,2,1,"Unconfirmed","http://www2.readingeagle.com/article.aspx?id=51331",,,"Unknown","Brian Burr - stun gun shooter, Brenda Marks - shooter, unknown police Sergeant, unknown police,",1,0,2,0,0,2,2,"Uniform",1,3,0,0,0,0
1507,"2015-01-14","Pennsylvania","Reading","Reading Police Department, Animal Rescue League of Berks County",2,50,1,"Pit Bull","http://readingeagle.com/news/article/police-in-reading-shoot-pit-bull-say-it-tried-to-attack-officer",,,"Unknown","Unknown",1,0,2,0,0,2,2,"Uniform",2,3,2,2,2,2
1508,"2012-11-05","Pennsylvania","Pittsburgh","Pittsburgh police Department, Allegheny County Medical Examiners Office",1,50,0,"African Painted Dog","http://www.post-gazette.com/local/city/2012/11/04/Pittsburgh-Zoo-police-investigating-fatal-mauling-of-child-at-African-painted-dogs-exhibit/stories/201211040210",,,"Unknown","Unknown",1,0,1,2,0,0,2,"Uniform",1,1,0,0,0,0
1509,"2009-10-22","Pennsylvania","Reading","Reading Police Department, Animal Rescue League of Berks County",1,2,1,"Unconfirmed","http://www2.readingeagle.com/article.aspx?id=162752",,,"Unknown","Unknown",1,0,2,1,0,2,1,"Uniform",1,3,0,0,0,0
1510,"2011-03-31","California","Murrieta","Murrieta Police Department",1,50,1,"Argentine Dogo","http://www2.readingeagle.com/article.aspx?id=298668",,,"Unknown","Unknown",2,1,2,0,2,1,1,"Uniform",0,3,2,2,2,2
